s_m,x_m,y_m,psi_rad,kappa_radpm,vx_realistic_mps,ax_realistic_mps2
1589.6892922,281.3657159,1483.8247855,-1.1141822,-0.002825,56.5730576510568,0.865917001777455
1591.6889014,283.1629606,1484.7013775,-1.1198202,-0.002814,56.603626816852,0.865098248110238
1593.6885106,284.965121,1485.5678479,-1.1254363,-0.0028031,56.6341530307126,0.864349064990424
1595.6881197,286.772034,1486.4241675,-1.1310306,-0.0027923,56.6646472885545,0.863909558652466
1597.6877289,288.5837564,1487.2704111,-1.1366035,-0.0027816,56.6950895722005,0.862900926727561
1599.6873381,290.4001741,1488.1065718,-1.1421552,-0.0027711,56.7254812150563,0.861927790656776
1601.6869472,292.2211323,1488.9326256,-1.1476855,-0.0027605,56.7558363150407,0.861352536349188
1603.6865564,294.0466636,1489.7486337,-1.153195,-0.00275,56.7861351487982,0.860215415564328
1605.6861656,295.8766717,1490.5545983,-1.1586836,-0.0027395,56.8163789493086,0.859110813719393
1607.6857748,297.7110184,1491.350505,-1.1641509,-0.0027289,56.8465856146654,0.858512536860436
1609.6853839,299.5497078,1492.1364021,-1.1695968,-0.002718,56.8767393151444,0.857462360370368
1611.6849931,301.3926524,1492.912299,-1.1750208,-0.0027069,56.9068438772772,0.856518601211537
1613.6846023,303.2397412,1493.6781974,-1.1804222,-0.0026953,56.9369188948114,0.856130578298845
1615.6842115,305.0909477,1494.434137,-1.185799,-0.0026826,56.9669561351248,0.855506682730676
1617.6838206,306.9461853,1495.180134,-1.1911554,-0.0026763,56.9969650120644,0.855149460275734
1619.6834298,308.8053611,1495.9161809,-1.1965042,-0.002678,57.0269617099774,0.855252437511366
1621.683039,310.668481,1496.6422681,-1.2018748,-0.0026934,57.0569481018426,0.855408353074707
1623.6826481,312.535353,1497.3582864,-1.2072311,-0.0026542,57.0869386845547,0.855977720281308
1625.6822573,314.4061415,1498.0644404,-1.2124898,-0.0026126,57.1169387338442,0.856697886668623
1627.6818665,316.2806363,1498.7608201,-1.2176945,-0.002593,57.1469562408534,0.857646901279334
1629.6814757,318.1585322,1499.4474041,-1.2228595,-0.0025733,57.17701449215,0.85926256028584
1631.6810848,320.0401112,1500.1243793,-1.2279853,-0.002553,57.2071037485984,0.860601471400072
1633.680694,321.9251513,1500.7917504,-1.2330696,-0.0025321,57.2372370264477,0.862314275923175
1635.6803032,323.8133267,1501.4494931,-1.2381103,-0.0025097,57.2674405037432,0.864778834787225
1637.6799123,325.7049754,1502.0978195,-1.2431059,-0.0024865,57.2976896363552,0.866543319471682
1639.6795215,327.5998618,1502.7367451,-1.2480542,-0.0024625,57.3279982653846,0.868706608234036
1641.6791307,329.4976374,1503.3662555,-1.2529531,-0.0024375,57.3583932674142,0.871643595009783
1643.6787399,331.3986547,1503.9865727,-1.2578021,-0.0024121,57.3888392970261,0.873570105734723
1645.678349,333.3026834,1504.5977268,-1.2625996,-0.0023861,57.419349213541,0.875868250120543
1647.6779582,335.2093808,1505.1997186,-1.267344,-0.0023595,57.4499477951445,0.878881122934268
1649.6775674,337.1190776,1505.792764,-1.2720354,-0.0023326,57.4805958998728,0.880772937942772
1651.6771766,339.0315582,1506.376907,-1.2766728,-0.0023055,57.5113042935409,0.882976668586192
1653.6767857,340.9465143,1506.9521682,-1.2812551,-0.0022779,57.5420952578375,0.885824413830899
1655.6763949,342.8642234,1507.5187463,-1.2857825,-0.0022502,57.5729309549581,0.887586454975264
1657.6760041,344.7844915,1508.076698,-1.2902546,-0.0022227,57.6038203486344,0.889608832908325
1659.6756132,346.7070694,1508.6260673,-1.29467,-0.0021936,57.6347834235857,0.892209763868565
1661.6752224,348.6321488,1509.1670292,-1.2990276,-0.0021652,57.6657859458503,0.893826771000403
1663.6748316,350.5595723,1509.6996566,-1.3033297,-0.0021376,57.6968356731848,0.895669500288084
1665.6744408,352.489163,1510.2240373,-1.3075411,-0.0020706,57.7279491923408,0.897993281634389
1667.6740499,354.4210189,1510.7404505,-1.3116213,-0.0020266,57.7590970750777,0.899470045113205
1669.6736591,356.3548727,1511.248999,-1.315672,-0.002025,57.790286071123,0.901143396913684
1671.6732683,358.2908444,1511.7497367,-1.3197121,-0.0020148,57.8215334689304,0.903318637563363
1673.6728775,360.2287343,1512.24265,-1.3237267,-0.0019959,57.8528105390389,0.904665413446122
1675.6724866,362.1685406,1512.7278196,-1.3276868,-0.0019652,57.8841228300841,0.906174247339957
1677.6720958,364.1103596,1513.2053918,-1.3315874,-0.0019362,57.915481332555,0.908002967093321
1679.671705,366.0539281,1513.6754217,-1.3354301,-0.0019071,57.946862927667,0.909163944710547
1681.6713141,367.9992272,1514.1380254,-1.3392139,-0.0018775,57.9782716546231,0.910443170978471
1683.6709233,369.9463961,1514.593357,-1.3429387,-0.0018479,58.009714606484,0.911929358111594
1685.6705325,371.8951312,1515.0414668,-1.3466041,-0.0018182,58.0411737710948,0.912894379735163
1687.6701417,373.845427,1515.4824763,-1.3502098,-0.0017884,58.0726511790533,0.913919139195438
1689.6697508,375.7974577,1515.9165465,-1.3537562,-0.0017585,58.1041495268527,0.91502315999039
1691.66936,377.750885,1516.3437242,-1.3572425,-0.0017286,58.1356561098426,0.915758710005759
1693.6689692,379.7057137,1516.764134,-1.3606689,-0.0016986,58.1671715496488,0.916512777695808
1695.6685784,381.6621481,1517.1779415,-1.3640357,-0.0016687,58.198693145187,0.917188649003017
1697.6681875,383.6198247,1517.5851921,-1.3673425,-0.0016388,58.2302147010477,0.917684442044409
1699.6677967,385.5787556,1517.9860112,-1.3705894,-0.0016089,58.2617352278053,0.918151312961176
1701.6674059,387.5391659,1518.3805663,-1.3737768,-0.001579,58.2932464271523,0.918376266174579
1703.667015,389.5006795,1518.7689034,-1.3769043,-0.0015494,58.3247489132932,0.918618739531953
1705.6666242,391.4633163,1519.1511477,-1.3799734,-0.0015204,58.3562405852023,0.918799393229626
1707.6662334,393.4273082,1519.5274627,-1.3829839,-0.0014906,58.3877067465033,0.918550454172361
1709.6658426,395.3922738,1519.8978941,-1.3859403,-0.0014736,58.4191558224184,0.918546456061749
1711.6654517,397.3582664,1520.2625205,-1.3888858,-0.0014725,58.4505856985682,0.918479892311766
1713.6650609,399.3254235,1520.621401,-1.3917884,-0.0014285,58.4819736786284,0.917748538594176
1715.6646701,401.2935335,1520.9746494,-1.3945995,-0.001385,58.5133344016205,0.917443630504744
1717.6642793,403.2626767,1521.322456,-1.3973295,-0.0013455,58.5446653425124,0.917063511937016
1719.6638884,405.2327025,1521.6649475,-1.3999924,-0.0013184,58.5759357057194,0.915779922636
1721.6634976,407.2036452,1522.002248,-1.4026019,-0.0012914,58.607170544283,0.915227687015612
1723.6631068,409.1755079,1522.3344673,-1.4051567,-0.0012638,58.6383683152633,0.914628585875162
1725.6627159,411.1480982,1522.6616844,-1.407657,-0.0012371,58.6694886214142,0.912842520513742
1727.6623251,413.1215447,1522.9840293,-1.4101042,-0.0012107,58.7005653324198,0.912047025848813
1729.6619343,415.0958482,1523.301609,-1.412499,-0.0011844,58.7315978901228,0.911233150305323
1731.6615435,417.0707398,1523.6144863,-1.4148417,-0.0011588,58.7625369956049,0.908968470627459
1733.6611526,419.0464283,1523.9227989,-1.4171332,-0.0011334,58.7934252340364,0.907951606740464
1735.6607618,421.0229106,1524.2266485,-1.4193744,-0.0011082,58.8242623321662,0.906924256320108
1737.660371,422.9998716,1524.5260883,-1.4215658,-0.0010836,58.8549930906046,0.904269887238237
1739.6599802,424.9775669,1524.8212572,-1.4237082,-0.0010593,58.8856655048694,0.903024014955917
1741.6595893,426.955993,1525.1122523,-1.4258025,-0.0010353,58.916280492274,0.901802530537779
1743.6591985,428.9348133,1525.399121,-1.4278491,-0.0010118,58.9467786513892,0.898827213729895
1745.6588077,430.9143042,1525.681999,-1.429849,-0.0009886,58.9772114851696,0.897365642883833
1747.6584168,432.8944648,1525.9609792,-1.4318031,-0.0009658,59.0075813047525,0.895969334844148
